times,flux,raw_flux,rawraw_flux,obs_vr,obs_vw,obs_vn,dsun_obs,rsun_obs
2456082.537971065,0.9999910511172825,0.998466616364617,567829135360.0,2217.553391,28588.16939,5991.524692,151765193230.07,945.940247
2456082.538491898,1.0000043779850432,0.9984876119490939,567840342016.0,2216.681401,28597.775199,5994.431591,151765293001.06,945.939636
2456082.5390127315,0.9999832420215634,0.9984744949323389,567832150016.0,2215.788614,28607.386766,5997.314087,151765392732.48,945.939026
2456082.539533565,0.999995918007268,0.9984952579914662,567843225600.0,2214.874585,28617.003781,6000.172333,151765492423.29,945.938416
2456082.540054398,0.9999967842323063,0.9985036926821338,567847288832.0,2213.939044,28626.625619,6003.00546,151765592072.44,945.937805
2456082.5405752314,0.999979692127665,0.9984944937509834,567841325056.0,2212.982785,28636.252797,6005.813078,151765691678.86,945.937195
2456082.5410960647,1.0000088354300807,0.998531521256732,567861575680.0,2212.005328,28645.885047,6008.596006,151765791241.92,945.936523
2456082.541616898,1.0000167871906982,0.9985473292153934,567869833216.0,2211.006476,28655.522248,6011.354769,151765890760.57,945.935913
2456082.5421377313,0.9999933518906703,0.9985316769042831,567860199424.0,2209.986982,28665.164736,6014.088459,151765990233.78,945.935303
2456082.5426585646,0.9999805325139077,0.9985267439253512,567856660480.0,2208.946815,28674.811852,6016.79655,151766089660.47,945.934692
2456082.543179398,0.9999606157031816,0.9985146639709658,567849058304.0,2207.885238,28684.463388,6019.479868,151766189040.01,945.934082
2456082.5437002317,0.9999371733477541,0.9984992420339898,567839555584.0,2206.802014,28694.11922,6022.138937,151766288371.36,945.933472
2456082.544221065,0.9999822417763942,0.9985521729302316,567868850176.0,2205.699244,28703.780081,6024.772901,151766387653.49,945.9328
2456082.5447418983,1.0000001142961066,0.9985780069138691,567882809344.0,2204.5743,28713.445259,6027.381228,151766486885.32,945.93219
2456082.5452627316,0.9999809500715554,0.9985666183991105,567875600384.0,2203.428382,28723.114658,6029.964375,151766586066.22,945.93158
2456082.545783565,1.0000056969347066,0.9985991385142711,567893360640.0,2202.262254,28732.788113,6032.522671,151766685195.17,945.930969
2456082.546304398,0.9999991038155567,0.9986005416839177,567893426176.0,2201.075566,28742.465708,6035.055965,151766784271.11,945.930359
2456082.5468252315,0.9999919974598247,0.9986012534128547,567893098496.0,2199.867033,28752.147054,6037.56422,151766883292.98,945.929749
2456082.547346065,0.9999934329545253,0.9986104950683222,567897620480.0,2198.637696,28761.832112,6040.047053,151766982260.16,945.929138
2456082.547866898,1.0000177074986054,0.9986427828115255,567915249664.0,2197.388135,28771.520877,6042.504268,151767081171.61,945.928528
2456082.5483877314,1.0000070259724732,0.998639924234753,567912890368.0,2196.117224,28781.213734,6044.936705,151767180026.3,945.927917
2456082.5489085647,0.9999932920588718,0.9986341960655004,567908827136.0,2194.825459,28790.909907,6047.34403,151767278823.16,945.927246
2456082.549429398,0.9999810489089004,0.9986298372192633,567905615872.0,2193.512786,28800.60956,6049.725904,151767377561.57,945.926636
2456082.5499502313,0.9999846730885581,0.9986413837980467,567911448576.0,2192.179201,28810.312729,6052.082135,151767476240.49,945.926025
2456082.5504710646,1.000002082929312,0.9986667572910257,567925145600.0,2190.824703,28820.019316,6054.413503,151767574858.89,945.925415
2456082.550991898,1.000004956765272,0.9986774951415962,567930519552.0,2189.44968,28829.728133,6056.718931,151767673415.72,945.924805
2456082.5515127317,0.9999968662751064,0.9986774023885634,567929733120.0,2188.053495,28839.439938,6058.999025,151767771910.34,945.924194
2456082.552033565,0.9999732633068387,0.9986615193572551,567919968256.0,2186.635942,28849.155198,6061.254191,151767870341.73,945.923584
2456082.5525543983,0.9999486738729038,0.9986448295885098,567909744640.0,2185.198638,28858.873426,6063.484207,151767968708.86,945.922974
2456082.5530752316,0.9999694319589257,0.9986735473860829,567925342208.0,2183.740616,28868.593974,6065.688313,151768067010.68,945.922363
2456082.553596065,1.0000212318652446,0.998733148143809,567958503424.0,2182.26199,28878.316957,6067.866635,151768165246.55,945.921753
2456082.554116898,1.0000427988233567,0.9987625554723067,567974494208.0,2180.762597,28888.042465,6070.019338,151768263415.45,945.921143
2456082.5546377315,1.000032281360216,0.9987601579668718,567972397056.0,2179.241661,28897.770839,6072.147093,151768361516.37,945.920532
2456082.555158565,1.00001479085514,0.9987504980351138,567966171136.0,2177.700497,28907.500935,6074.248845,151768459548.23,945.919922
2456082.555679398,1.0000110278100631,0.9987546672527347,567967809536.0,2176.138808,28917.233238,6076.325164,151768557510.43,945.919312
2456082.5562002314,0.9999854587442742,0.9987370576130378,567957061632.0,2174.556523,28926.967926,6078.376279,151768655401.94,945.918701
2456082.5567210647,0.9999910422948389,0.9987505615397338,567964008448.0,2172.953861,28936.704353,6080.401318,151768753221.73,945.918091
2456082.557241898,0.9999826105155878,0.9987500078963295,567962959872.0,2171.329906,28946.443087,6082.401278,151768850968.76,945.91748
2456082.5577627313,0.9999611422089304,0.9987363143547504,567954440192.0,2169.685376,28956.183534,6084.375196,151768948642.4,945.91687
2456082.5582835646,1.0000209604571295,0.9988038677051752,567992123392.0,2168.020656,28965.92516,6086.322601,151769046241.65,945.91626
2456082.558804398,1.0000371611028591,0.9988279763459762,568005099520.0,2166.334903,28975.667853,6088.245062,151769143765.48,945.915649
2456082.5593252317,1.0000253771311598,0.9988241938478339,568002215936.0,2164.629472,28985.412744,6090.142251,151769241212.83,945.915039
2456082.559846065,1.00002761423509,0.9988343559013252,568007262208.0,2162.903184,28995.15908,6092.013351,151769338583.1,945.914429
2456082.5603668983,0.9999785127647852,0.99879312106083,567983079424.0,2161.155426,29004.906375,6093.857911,151769435875.27,945.913818
2456082.5608877316,0.9999563492019891,0.9987788512407758,567974232064.0,2159.38781,29014.655067,6095.677569,151769533088.33,945.913208
2456082.561408565,0.9999925680887758,0.998822895232673,567998545920.0,2157.600072,29024.404501,6097.47108,151769630221.23,945.912598
2456082.561929398,0.9999847656083946,0.9988231483831683,567997956096.0,2155.791855,29034.154623,6099.238966,151769727273.35,945.911987
2456082.5624502315,0.9999685885764202,0.9988148577089704,567992582144.0,2153.962931,29043.905516,6100.981303,151769824243.68,945.911438
2456082.562971065,0.9999801795871615,0.9988341241931615,568002805760.0,2152.113878,29053.658171,6102.696798,151769921131.22,945.910828
2456082.563491898,0.9999843208700077,0.9988462476269444,568008966144.0,2150.244261,29063.410588,6104.387034,151770017934.93,945.910217
2456082.5640127314,0.9999836778533907,0.9988534134231578,568012308480.0,2148.354137,29073.163114,6106.051415,151770114654.18,945.909607
2456082.5645335647,0.9999842324217462,0.9988621926759779,568016568320.0,2146.443605,29082.91599,6107.689613,151770211287.97,945.908997
2456082.565054398,0.999960990086254,0.9988464267096716,568006868992.0,2144.513087,29092.669965,6109.301885,151770307835.31,945.908386
2456082.5655752313,0.9999648429007505,0.9988582023688447,568012832768.0,2142.561971,29102.423843,6110.888755,151770404295.14,945.907776
2456082.5660960646,1.0000059093807838,0.9989069720510592,568039833600.0,2140.590706,29112.177995,6112.449401,151770500666.86,945.907166
2456082.566616898,1.0000214586759535,0.9989304914524196,568052547584.0,2138.59939,29121.932371,6113.983413,151770596949.48,945.906616
2456082.5671377317,1.000039103899798,0.9989558663331378,568066244608.0,2136.586846,29131.685785,6115.492224,151770693141.97,945.906006
2456082.567658565,1.0000116907458134,0.9989364103833829,568054448128.0,2134.554762,29141.439102,6116.974782,151770789243.32,945.905396
2456082.5681793983,0.9999672689884307,0.9988997847414863,568032886784.0,2132.502896,29151.192212,6118.431223,151770885252.91,945.904785
2456082.5687002316,0.9999647764270004,0.9989052219794364,568035246080.0,2130.430957,29160.945032,6119.861546,151770981169.76,945.904175
2456082.569221065,0.9999621649843049,0.9989103020120667,568037474304.0,2128.337747,29170.697212,6121.265709,151771076992.84,945.903625
2456082.569741898,0.9999558017735798,0.9989120513682289,568037736448.0,2126.225195,29180.448606,6122.643694,151771172721.16,945.903015
2456082.5702627315,0.9999866662453165,0.9989503341049896,568058773504.0,2124.092553,29190.199455,6123.995909,151771268354.08,945.902405
2456082.5707847225,1.0000324584838511,0.9990039469554104,568088526848.0,2121.939463,29199.949715,6125.322404,151771363890.62,945.901794
2456082.5713055558,1.0000401121356983,0.9990192820432422,568096587776.0,2119.766473,29209.698267,6126.621616,151771459329.8,945.901245
2456082.571826389,1.0000289072968056,0.9990160758954106,568094031872.0,2117.573251,29219.445962,6127.895491,151771554670.58,945.900635
2456082.5723472224,1.0000266553542214,0.9990215154377277,568096391168.0,2115.360304,29229.192486,6129.14335,151771649912.36,945.900024
2456082.5728680557,1.0000113573882663,0.9990141603557489,568091475968.0,2113.127743,29238.937705,6130.364817,151771745054.15,945.899414
2456082.573388889,1.0000135333250333,0.999023963620485,568096391168.0,2110.873993,29248.681953,6131.560095,151771840094.97,945.898865
2456082.5739097223,1.0000253039587852,0.9990432329818112,568106614784.0,2108.601256,29258.424215,6132.729042,151771935033.8,945.898254
2456082.5744305556,1.0000292676370437,0.9990552396301052,568112709632.0,2106.308749,29268.1649,6133.871709,151772029870.02,945.897644
2456082.574951389,1.0000437869909784,0.9990773745707958,568124637184.0,2103.99603,29277.904249,6134.988128,151772124602.68,945.897095
2456082.575472222,1.0000720417241529,0.999113470379362,568144429056.0,2101.663297,29287.642154,6136.078285,151772219230.77,945.896484
2456082.5759930555,1.0000661040970302,0.9991149895165795,568144560128.0,2099.310918,29297.377235,6137.142695,151772313753.28,945.895874
2456082.576513889,1.0000378729991797,0.9990947129859531,568132370432.0,2096.938258,29307.110424,6138.180605,151772408169.62,945.895325
2456082.577034722,1.0000409237547871,0.9991055693923255,568137809920.0,2094.545283,29316.842185,6139.191674,151772502478.82,945.894714
2456082.5775555554,1.0000323929575512,0.9991044377894492,568136433664.0,2092.134386,29326.571395,6140.17734,151772596679.88,945.894104
2456082.5780763887,1.000019111145857,0.9990987978426193,568132567040.0,2089.702817,29336.297883,6141.136421,151772690771.8,945.893555
2456082.5785972225,1.000011489719531,0.9990990513337685,568131977216.0,2087.251214,29346.022168,6142.069131,151772784753.99,945.892944
2456082.5791180558,1.0000151652983609,0.9991103530691312,568137744384.0,2084.779915,29355.744383,6142.975641,151772878625.48,945.892395
2456082.579638889,1.0000040335540337,0.9991068012172093,568134991872.0,2082.289162,29365.463067,6143.856393,151772972385.28,945.891785
2456082.5801597224,1.0000066691467013,0.9991171831006448,568140234752.0,2079.778648,29375.179506,6144.709949,151773066032.41,945.891235
2456082.5806805557,1.0000158992190946,0.9991339152677201,568149016576.0,2077.24852,29384.893077,6145.53723,151773159566.25,945.890625
2456082.581201389,0.9999722308017875,0.9990980933562817,568127913984.0,2074.698874,29394.603383,6146.33874,151773252985.86,945.890015
2456082.5817222223,0.9999634587970471,0.999096719725569,568126472192.0,2072.129666,29404.310698,6147.113562,151773346290.26,945.889465
2456082.5822430556,0.9999793117247253,0.9991203669593206,568139186176.0,2069.5409,29414.014976,6147.861938,151773439478.45,945.888855
2456082.582763889,0.9999830510845023,0.9991315535614452,568144887808.0,2066.932574,29423.716221,6148.583851,151773532549.85,945.888306
